symbol,category,regime,signal_date,sector_ticker,ablated_score,exit_reason,strategy_return_pct,days_held,entry_price,target1,stop_loss,target_distance_pct,stop_distance_pct,atr_pct,support20,resistance20,high52w,factor__Market Regime,factor__Sector Strength,factor__Momentum,factor__Price Structure,factor__Volume Confirmation,factor__Relative Strength,factor__Volatility Profile,factor__Risk/Reward Quality,factor__Price Trend,factor__Volume Trend,dist_resistance_pct,dist_52w_high_pct
ONGC,Short-Term (Swing),STRONG_BULLISH,2024-07-12,^CNXENERGY,80.6,target1,0.984609469923936,0,311.79998779296875,314.87,293.94,0.984609469923936,5.728027098201027,2.857778432443756,263.5,311.75,311.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.06,,,-0.016032006069846692,-0.016032006069846692
ONGC,Short-Term (Swing),STRONG_BULLISH,2024-07-16,^CNXENERGY,77.6,target1,1.7779125770437387,0,325.1000061035156,330.88,308.81,1.7779125770437387,5.010767701532648,2.859347399092286,263.5,327.6000061035156,327.6000061035156,1.0,1.0,0.35,1.0,1.0,1.0,1.0,0.06,,,0.7689941412071124,0.7689941412071124
ONGC,Short-Term (Swing),STRONG_BULLISH,2024-07-22,^CNXENERGY,62.8,stop_loss,-4.3305696989853875,0,320.04998779296875,336.63,306.19,5.180444567851805,4.3305696989853875,3.0365031108077876,263.5,333.29998779296875,333.29998779296875,1.0,0.6,0.85,0.7466666666666666,0.0,1.0,0.5,0.11000000000000001,,,4.139978286320401,4.139978286320401
ONGC,Short-Term (Swing),STRONG_BULLISH,2024-07-24,^CNXENERGY,62.7,target1,5.841852828218208,0,318.04998779296875,336.63,303.1,5.841852828218208,4.700515128678539,3.4317170647263104,263.5,333.29998779296875,333.29998779296875,1.0,0.6,0.85,0.7466666666666666,0.0,1.0,0.5,0.1,,,4.794843762083973,4.794843762083973
ONGC,Short-Term (Swing),STRONG_BULLISH,2024-07-29,^CNXENERGY,66.3,target1,3.2981927710843406,2,332.0,342.95,315.97,3.2981927710843406,4.828313253012039,3.3904563210613263,271.5,339.54998779296875,339.54998779296875,1.0,1.0,0.85,0.7466666666666666,0.0,1.0,0.5,0.06,,,2.274092708725527,2.274092708725527
ONGC,Short-Term (Swing),NEUTRAL,2024-08-07,^CNXENERGY,63.9,stop_loss,-5.9635258358662675,27,329.0,348.15,309.38,5.820668693009101,5.9635258358662675,3.9938640414427344,288.8500061035156,344.70001220703125,344.70001220703125,0.5466666666666666,0.6,0.5,0.7466666666666666,1.0,1.0,0.5,0.1,,,4.772040184507978,4.772040184507978
ONGC,Short-Term (Swing),BULLISH,2025-01-02,^CNXENERGY,60.6,target1,3.771383846589371,0,248.4499969482422,257.82,237.26,3.771383846589371,4.503923157855116,2.3868006240189628,231.14999389648438,263.25,345.0,0.8533333333333334,0.6,1.0,0.0,1.0,0.05,1.0,0.13,,,5.956934285992763,38.86093952010447
ONGC,Short-Term (Swing),BULLISH,2025-03-20,^CNXENERGY,60.3,target1,4.105172528821988,0,235.8000030517578,245.48,226.03,4.105172528821988,4.143343055688298,2.705533316536889,215.47999572753906,243.0500030517578,345.0,0.8533333333333334,0.6,0.85,0.0,1.0,0.35,1.0,0.1,,,3.074639485228774,46.31043067640373
ONGC,Short-Term (Swing),BULLISH,2025-03-28,^CNXENERGY,68.2,stop_loss,-4.336032388663968,3,247.0,257.45,236.29,4.230769230769216,4.336032388663968,2.729639361688972,215.47999572753906,254.89999389648438,345.0,0.8533333333333334,1.0,0.85,0.0,1.0,0.73,1.0,0.11000000000000001,,,3.198378095742662,39.67611336032389
ONGC,Short-Term (Swing),HIGH_VOLATILITY,2025-05-15,^CNXENERGY,62.9,stop_loss,-4.124503221601882,18,247.05999755859375,255.28,236.87,3.3271280347425547,4.124503221601882,2.8916397819303463,228.4499969482422,252.75,345.0,0.3,1.0,1.0,0.7466666666666666,0.5,0.4,1.0,0.06999999999999999,,,2.303085281969529,39.64219355995841
ONGC,Short-Term (Swing),STRONG_BULLISH,2025-06-11,^CNXENERGY,80.9,target1,1.483101391650088,1,251.5,255.23,239.89,1.483101391650088,4.616302186878729,2.0025204904961806,235.5,252.6999969482422,345.0,1.0,1.0,1.0,0.7466666666666666,1.0,0.36,1.0,0.11000000000000001,,,0.4771359635157803,37.17693836978131
