symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
BHARTIARTL,Long-Term,2026-06-08,score<40,29.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
CIPLA,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-27,2026-04-28,2026-06-23,target1,Long-Term
CIPLA,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-27,2026-04-28,2026-06-23,target1,Long-Term
COALINDIA,Long-Term,2026-06-05,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-07-07,stop_loss,Long-Term
COALINDIA,Long-Term,2026-06-08,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-07-07,stop_loss,Long-Term
DRREDDY,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-20,2026-04-21,2026-06-29,target1,Long-Term
DRREDDY,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-20,2026-04-21,2026-06-29,target1,Long-Term
EICHERMOT,Long-Term,2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-04-08,2026-04-09,2026-07-09,time_exit,Long-Term
EICHERMOT,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-08,2026-04-09,2026-07-09,time_exit,Long-Term
ETERNAL,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),44.3,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ETERNAL,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),44.3,,NO TRADE,1.5,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
GRASIM,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-25,2026-05-26,2026-07-10,target1,Long-Term
GRASIM,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-25,2026-05-26,2026-07-10,target1,Long-Term
HCLTECH,Long-Term,2026-06-05,score<40,18.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HCLTECH,Long-Term,2026-06-08,score<40,18.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCBANK,Long-Term,2026-06-05,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCBANK,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCLIFE,Long-Term,2026-06-05,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCLIFE,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HEROMOTOCO,Long-Term,2026-06-05,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HEROMOTOCO,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDALCO,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-06-01,2026-06-02,2026-06-08,stop_loss,Long-Term
HINDALCO,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-06-01,2026-06-02,2026-06-08,stop_loss,Long-Term
HINDUNILVR,Long-Term,2026-06-05,score<40,17.1,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDUNILVR,Long-Term,2026-06-08,score<40,19.6,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ICICIBANK,Long-Term,2026-06-05,score<40,35.2,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ICICIBANK,Long-Term,2026-06-08,score<40,33.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ITC,Long-Term,2026-06-05,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ITC,Long-Term,2026-06-08,score<40,10.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
INDUSINDBK,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-08,2026-04-09,2026-07-06,target1,Long-Term
INDUSINDBK,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-08,2026-04-09,2026-07-06,target1,Long-Term
INFY,Long-Term,2026-06-05,score<40,32.5,,NO TRADE,1.5,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
INFY,Long-Term,2026-06-08,score<40,34.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
JSWSTEEL,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-28,2026-05-29,2026-06-23,stop_loss,Long-Term
